address,reward(wei),reward(ether)
0xC67edd8A075A2A96682Be1A9F3f5865c24F8a70A,74262895933438046140,74.26
0x7487Fc547DE9ecFdF7A972F9cb2F835A26e9Adf9,74262648770698782768,74.26
0xeD3d7456997d9Af7d284230B5017B35d140dA798,74262648770698782768,74.26
0xD6F339332204054C927Ed4EE72110E560CC2beB8,74262648770698782768,74.26
0x164767126f2570a427E3c2F34dA27003f8394a40,74156892458390100263,74.15
0x8b6e8643dcc36bb66ED70e7EBB18C5cF46363cc4,73533739701732799168,73.53
0x1b4dfed8613dF7E1cDCb4C1b39e3FaAe539B213F,70199786410743577222,70.19
0x215D67998DaCd9DA4118E4a4899bec60b79987A0,67676770506970822478,67.67
0x402c222be058f44FDb8B887EEeFDECb2999fcc25,67026967686253239155,67.02
0xaF9b8E169e52faF91231C7EcCE1Bd15a87D2a95E,66863763845966573551,66.86
0xE3df2BedA49eBbE6a5b24EE84a003BE2f7e0FD3F,66475749896142031176,66.47
0x7F9455D723d6Ea89393E360e9C11B7846f3903Ad,65709727742724421093,65.70
0xcb2335b96Ec80fD82269885F2B00dA4DFC6cE748,65692567570118404423,65.69
0xB55A0Fe37CEDA0EC389d4bE0A23F569697389730,65482006414117258112,65.48
0xDAddD93C801caF4ef4e6935B7043675978F59ecB,65306270047091609562,65.30
0xBd774017Ea2ae5B9dec156bA8C987d74eF249b30,64722254875252361554,64.72
0xc5B8B44765d3beE6f68737B3b9919e8354c87498,64667429948795060242,64.66
0xADc0390129cF31AcC837d36560FF9D431cEb8d14,63944352868407496631,63.94
0xD83B079cE45104A4Cfb58a07BD8A0DEBd1597cE5,63627019450138656720,63.62
0x86341e73d9Deb4696B1Ae50DBCe8F2D62FA06023,62893145297517107601,62.89
0x4834762cCD407C89a145C55755BBA1e7ccD8237f,62887953786487173399,62.88
0x17dd35C1Af39E3F751a9c248507169aB3307B651,61754766134723931796,61.75
0xc8992a40496B6279bd5475Cfd8C2efdb6513e349,59947898630934831121,59.94
0xa662AE6B8Db89DfA4221FEd23adB1134F9d11b70,58203954742187193593,58.20
0x6714d84d20e4fB05d001943F9348530b9698Af10,57688150164589244352,57.68
0xe770cF37Be4cd0eDC83ffd3F6E2a05e8bD157fE0,57591289321047191518,57.59
0x0D5f72883570EE34023955e482b1F5e3e7cD9778,57507206591222740455,57.50
0x07E6033CAA08d662964514B92Dd1d99452B456D8,56963419238274030931,56.96
0x3b40917f9DF83d8EdEe46Fad58e3c43173409E5C,56642206331440183160,56.64
0x3e0615f8c5Fb49AD09288437A435471B119566c1,56631900550492472688,56.63
0xf8a099545c0f2c3D3E547C048c2F5589e53B54d5,56428679004027605725,56.42
0x0f5b2479d1ac2E1B051874b3004A8509C0A97D67,55740490539345612079,55.74
0x45fA4CaC1C272696904BD82F5A9A6862060b2431,55090825017043070742,55.09
0x8810D24b0a27749E1a95b365806C603D7def8219,54975340645727708038,54.97
0x9259729ED0C24Ad46EA00813Ba525AFD61730596,54902773810512012991,54.90
0x9a31Bab581c5e67c0185ecb69F9C86Ad550726CC,54786361152174401441,54.78
0x81aA6141923Ea42fCAa763d9857418224d9b025a,54729984410735230006,54.72
0x34Fc13aFEE91F5db6493e977FD18FAef678aaA06,54585664295568652314,54.58
0x008860862038d3e9548c1986aAb5cf8972774727,54533923494734014311,54.53
0x1f9730D6a1b45B76aE2919Cb178160a6419920AC,53690858106707782145,53.69
0x125F2503E342950CfC1bd32de516Abfb226d78b1,53602897903869892443,53.60
0x6DcD75b12355512f9Af8C5972B62917D4bBE859C,52508823388674905871,52.50
0xA3c8133fD81b4b717b5181496be47BC0e89Bc2d9,51911788074793192811,51.91
0x120Fb654f9a6C49b52A5982529d733B8D8553171,51672857968262959317,51.67
0x7623e01780329b196ED47D3665B3869516471DA5,51140241412622604644,51.14
0x353667248112af748E3565a41eF101Daf57aE02a,51012520692776112907,51.01
0xdb5d6716bBd2C04227d207757F00BD5e2AF9C65b,50825404613093695894,50.82
0x4468ACb7FDaD4544797288700D58da81Df2d31C3,50680352155879830834,50.68
0x5e767Cd1Ad0FeC2f9c5EB580586D2ABAa7dD776E,50270520537013558569,50.27
0x7d9e1C08a02AE0d331595DFE0646012215CE1A4E,50178601164075172282,50.17
0x57D82aD14CA9D2d01A9B4842fD87caE48C2274fc,49632271542921594481,49.63
0xcfbAae5Ffd99f22D7E9f21325B8917D7d4D17C3B,49561447444155442264,49.56
0xe1d18ae098FFB1AD301e0609180f155B329A710A,49537770055542131195,49.53
0x81352584BCBbb81D94997eb6DeEC878cca9fE040,49497254110273825891,49.49
0x26d7Aa228b3BC229EabdcBb48C2e85B8278dcB98,49393508376692472218,49.39
0xea94C9a3Bcc2bf5a3c08e3de1Ccc64c6B6049710,49305104086664687114,49.30
0x5A6a3AFb7Ab98e4ea646B91927b1c95B84BF5445,49175099180465855179,49.17
0xD91dcf5aae801a0Cbc2CbaC15D7e34F53BEFC4Ae,49175099180465855179,49.17
0x8a260d07397AB281402426A20e2E8f967aF2ec00,49175099180465855179,49.17
0x6D55e39A37A80C79643d33ECB0CA4C48d509bA43,49175099180465855179,49.17
0xc6Ee374D2D83842cdD6d42213B06eBd33BD6D599,49175099180465855179,49.17
0x9a376C8e244CDBB07eb7856DA3cAC7f5794b58fA,49175099180465855179,49.17
0x35F05827f3DF3A5C57bd7f5547d966C353282F9d,49175099180465855179,49.17
